lender,as_of,segment,ltv_max,fix_years,rate,fee,source,confidence,erc,svr
Nationwide,2026-09-15,remortgage,60,2,5.01,1499.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,2/1,6.49
Nationwide,2026-09-15,remortgage,60,2,5.06,999.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,2/1,6.49
Nationwide,2026-09-15,remortgage,60,2,5.34,0.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,2/1,6.49
Nationwide,2026-09-15,remortgage,60,3,5.06,999.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,3/2/1,6.49
Nationwide,2026-09-15,remortgage,60,3,5.34,0.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,3/2/1,6.49
Nationwide,2026-09-15,remortgage,60,5,5.04,1499.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,5/4/3/2/1,6.49
Nationwide,2026-09-15,remortgage,60,5,5.09,999.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,5/4/3/2/1,6.49
Nationwide,2026-09-15,remortgage,60,5,5.19,0.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,5/4/3/2/1,6.49
Nationwide,2026-09-15,remortgage,60,10,5.24,999.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,"6x5,5,4,3,2,1",6.49
Nationwide,2026-09-15,remortgage,60,10,5.34,0.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,"6x5,5,4,3,2,1",6.49
Nationwide,2026-09-15,remortgage,75,2,5.06,1499.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,2/1,6.49
Nationwide,2026-09-15,remortgage,75,2,5.11,999.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,2/1,6.49
Nationwide,2026-09-15,remortgage,75,2,5.42,0.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,2/1,6.49
Nationwide,2026-09-15,remortgage,75,3,5.11,999.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,3/2/1,6.49
Nationwide,2026-09-15,remortgage,75,3,5.42,0.0,nationwide-intermediary.co.uk product guide F6 (15.09.2026),full-sheet,3/2/1,6.49
