lender,date,segment,ltv_max,fix_years,rate,fee,code
Nationwide,2026-09-15,Remortgage for New Borrowers,60,2,5.01,1499,206774
Nationwide,2026-09-15,Remortgage for New Borrowers,60,2,5.06,999,206766
Nationwide,2026-09-15,Remortgage for New Borrowers,60,2,5.34,0,206997
Nationwide,2026-09-15,Remortgage for New Borrowers,60,3,5.06,999,206816
Nationwide,2026-09-15,Remortgage for New Borrowers,60,3,5.34,0,207031
Nationwide,2026-09-15,Remortgage for New Borrowers,60,5,5.04,1499,206902
Nationwide,2026-09-15,Remortgage for New Borrowers,60,5,5.09,999,206894
Nationwide,2026-09-15,Remortgage for New Borrowers,60,5,5.19,0,207099
Nationwide,2026-09-15,Remortgage for New Borrowers,60,10,5.24,999,206951
Nationwide,2026-09-15,Remortgage for New Borrowers,60,10,5.34,0,207147
Nationwide,2026-09-15,Remortgage for New Borrowers,75,2,5.06,1499,206775
Nationwide,2026-09-15,Remortgage for New Borrowers,75,2,5.11,999,206767
Nationwide,2026-09-15,Remortgage for New Borrowers,75,2,5.42,0,206998
Nationwide,2026-09-15,Remortgage for New Borrowers,75,3,5.11,999,206817
Nationwide,2026-09-15,Remortgage for New Borrowers,75,3,5.42,0,207032
Nationwide,2026-09-15,Remortgage for New Borrowers,75,5,5.14,1499,206903
Nationwide,2026-09-15,Remortgage for New Borrowers,75,5,5.19,999,206895
Nationwide,2026-09-15,Remortgage for New Borrowers,75,5,5.29,0,207100
Nationwide,2026-09-15,Remortgage for New Borrowers,75,10,5.29,999,206952
Nationwide,2026-09-15,Remortgage for New Borrowers,75,10,5.44,0,207148
Nationwide,2026-09-15,Remortgage for New Borrowers,80,2,5.19,1499,206776
Nationwide,2026-09-15,Remortgage for New Borrowers,80,2,5.24,999,206768
Nationwide,2026-09-15,Remortgage for New Borrowers,80,2,5.43,0,206999
Nationwide,2026-09-15,Remortgage for New Borrowers,80,3,5.24,999,206818
Nationwide,2026-09-15,Remortgage for New Borrowers,80,3,5.46,0,207033
Nationwide,2026-09-15,Remortgage for New Borrowers,80,5,5.24,1499,206904
Nationwide,2026-09-15,Remortgage for New Borrowers,80,5,5.29,999,206896
Nationwide,2026-09-15,Remortgage for New Borrowers,80,5,5.34,0,207101
Nationwide,2026-09-15,Remortgage for New Borrowers,80,10,5.74,999,206953
Nationwide,2026-09-15,Remortgage for New Borrowers,80,10,5.94,0,207149
Nationwide,2026-09-15,Remortgage for New Borrowers,85,2,5.19,1499,206777
Nationwide,2026-09-15,Remortgage for New Borrowers,85,2,5.24,999,206769
Nationwide,2026-09-15,Remortgage for New Borrowers,85,2,5.43,0,207000
Nationwide,2026-09-15,Remortgage for New Borrowers,85,3,5.27,999,206819
Nationwide,2026-09-15,Remortgage for New Borrowers,85,3,5.46,0,207034
Nationwide,2026-09-15,Remortgage for New Borrowers,85,5,5.24,1499,206905
Nationwide,2026-09-15,Remortgage for New Borrowers,85,5,5.29,999,206897
Nationwide,2026-09-15,Remortgage for New Borrowers,85,5,5.34,0,207102
Nationwide,2026-09-15,Remortgage for New Borrowers,85,10,5.74,999,206954
Nationwide,2026-09-15,Remortgage for New Borrowers,85,10,5.94,0,207150
Nationwide,2026-09-15,Remortgage for New Borrowers,90,2,5.44,1499,206778
